iter	Logloss
149	0.4174360492
150	0.4170678327
151	0.4167439109
152	0.4164383169
153	0.4161109986
154	0.4158205175
155	0.4155500466
156	0.4152578885
157	0.4149960536
158	0.4147233383
159	0.4143818358
160	0.4141104245
161	0.4138088115
162	0.4135404325
163	0.4132400578
164	0.4130642756
165	0.4128440298
166	0.4126344602
167	0.4123806145
168	0.4121212077
169	0.4119012623
170	0.4117053395
171	0.4114950602
172	0.4112339499
173	0.4110273209
174	0.4106915949
175	0.4104764195
176	0.4102499052
177	0.4100335478
178	0.4097910154
179	0.4095446727
180	0.4092469678
181	0.4090063219
182	0.4087754604
183	0.4086028475
184	0.4084035052
185	0.4081846013
186	0.407983794
187	0.4077669595
188	0.4075181774
189	0.4073166204
190	0.407081625
191	0.4068850387
192	0.4067213359
193	0.4065262295
194	0.4063781923
195	0.406193719
196	0.4060106007
197	0.4057881214
198	0.4055952581
199	0.4054186878
200	0.4052804513
201	0.4051608187
202	0.4049973108
203	0.4048006167
204	0.4046497946
205	0.4044517464
206	0.4043125366
207	0.4041411641
208	0.4039873433
209	0.4037841767
210	0.4036054644
211	0.4034826448
212	0.4032830368
213	0.4030993185
214	0.4029294341
215	0.4028376882
216	0.4026958878
217	0.4024883014
218	0.4023028349
219	0.4021356994
220	0.402006044
221	0.401800598
222	0.4016387097
223	0.4014520014
224	0.4012976364
225	0.4011744793
226	0.4010269863
227	0.4008945417
228	0.400750874
229	0.4005956744
230	0.4004662572
231	0.4003170537
232	0.4001722775
233	0.4001021299
234	0.3999823722
235	0.3998529182
236	0.3997237363
237	0.3996084864
238	0.3995025245
239	0.3993882402
240	0.3992362467
241	0.3990633368
242	0.3989178384
243	0.3987638825
244	0.3985939938
245	0.3984374086
246	0.3982950513
247	0.3982125858
248	0.3980375431
249	0.3979303508
250	0.3977705401
251	0.3975894972
252	0.3975093837
253	0.3974084794
254	0.3972327724
255	0.3970532312
256	0.3969426194
257	0.3968165263
258	0.3967119109
259	0.3966010491
260	0.3964919742
261	0.3964195913
262	0.3962945026
263	0.3961525777
264	0.3960505424
265	0.3959117043
266	0.3958111814
267	0.3957058457
268	0.3956153615
269	0.3954793804
270	0.3954044169
271	0.3952928647
272	0.3951945378
273	0.3950502206
274	0.39498384
275	0.3948931002
276	0.3947630047
277	0.3946301756
278	0.3945272324
279	0.3943995221
280	0.3943292135
281	0.3942219744
282	0.3941098284
283	0.393969886
284	0.3938423042
285	0.3937413239
286	0.3936769382
287	0.3935911755
288	0.3934695333
289	0.3933449565
290	0.3932974406
291	0.3932018831
292	0.3930972029
293	0.3929581978
294	0.3928603506
295	0.392748669
296	0.3926615722
297	0.3924934773
298	0.3924013913
299	0.392275132
300	0.3921913354
301	0.3920864791
302	0.3920169126
303	0.3919361959
304	0.391834451
305	0.3917359634
306	0.3916260222
307	0.3915635543
308	0.3914458955
309	0.3913169219
310	0.3912469649
311	0.39117578
312	0.391091437
313	0.3910220044
314	0.3909283347
315	0.3907848886
316	0.3907089815
317	0.3906288231
318	0.390553778
319	0.3904720132
320	0.3903395312
321	0.3902902846
322	0.3901983151
323	0.3901007458
324	0.3899963546
325	0.3899315174
326	0.3898508721
327	0.389776013
328	0.3897184941
329	0.3896002623
330	0.3895121706
331	0.3894288648
332	0.3893359687
333	0.3892871631
334	0.3892094656
335	0.3891270874
336	0.3890188185
337	0.3889037614
338	0.3888082264
339	0.3887500507
340	0.3886569269
341	0.3885596012
342	0.3884812901
343	0.3883939169
344	0.3883409102
345	0.3882509138
346	0.3882102051
347	0.3881571366
348	0.3881056219
349	0.3880270055
350	0.3879190717
351	0.3878161358
352	0.3877182539
353	0.3876349167
354	0.3875340659
355	0.3874574251
356	0.3874079602
357	0.3872928996
358	0.3872600114
359	0.3872114235
360	0.3871495272
361	0.3870529432
362	0.3869999943
363	0.386922206
364	0.3868627787
365	0.3867929657
366	0.3867189007
367	0.3865731496
368	0.3865230158
369	0.3864422735
370	0.3863534283
371	0.38628103
372	0.3862227189
373	0.3861410734
374	0.3860664666
375	0.3859789396
376	0.3859134885
377	0.3858431098
378	0.385780208
379	0.3856914738
380	0.3855510357
381	0.3854977683
382	0.3854280631
383	0.3853732092
384	0.3852668119
385	0.3851817817
386	0.3850518547
387	0.3849741609
388	0.3848745605
389	0.3847865157
390	0.3847110756
391	0.3846458658
392	0.3845903139
393	0.3845102277
394	0.3843937375
395	0.3843192421
396	0.3842417979
397	0.3841785748
398	0.3841360041
399	0.3840694346
400	0.3839962163
401	0.383918042
402	0.3838013404
403	0.3837281148
404	0.3836180389
405	0.3835677237
406	0.3834881223
407	0.383438849
408	0.3833643782
409	0.3832826607
410	0.3832252313
411	0.3831079856
412	0.3830200394
413	0.3829581073
414	0.382908008
415	0.3828554479
416	0.3827799086
417	0.3827236868
418	0.3826689814
419	0.382629325
420	0.3825474073
421	0.3824461693
422	0.3823769523
423	0.3823015387
424	0.3822138893
425	0.3821713645
426	0.3820809726
427	0.3819935388
428	0.3818944221
429	0.3818604668
430	0.381801882
431	0.3817482022
432	0.3816958779
433	0.3816181154
434	0.3815439483
435	0.3814983969
436	0.3814203793
437	0.3813082258
438	0.3812694168
439	0.3811853619
440	0.3811205913
441	0.3810784809
442	0.3809610842
443	0.3808668724
444	0.3807956707
445	0.3806978955
446	0.3806241314
447	0.3805676909
448	0.3805014885
449	0.3804394421
450	0.3803739249
451	0.3803187507
452	0.3802300832
453	0.3801596217
454	0.380093836
455	0.3800593814
456	0.3800078557
457	0.3799360938
458	0.3798817575
459	0.3798127332
460	0.379737829
461	0.3797167685
462	0.3796839022
463	0.3796199015
464	0.3795836674
465	0.3794922657
466	0.3794638436
467	0.3793488926
468	0.3793094282
469	0.3792224993
470	0.3791903344
471	0.3790954249
472	0.3790260003
473	0.3789601423
474	0.3788718272
475	0.3788001527
476	0.3787465265
477	0.3787054091
478	0.378618212
479	0.378495769
480	0.3784013636
481	0.3783315209
482	0.3782651739
483	0.3782572659
484	0.3782113305
485	0.3781259937
486	0.3780257198
487	0.3779814032
488	0.3779349115
489	0.3778482843
490	0.3777875907
491	0.3777456526
492	0.3776650705
493	0.3776089147
494	0.3775404349
495	0.3774657673
496	0.3774044468
497	0.3773373017
498	0.3772985884
499	0.377227683
